OrderID,Courier,DeliveryZone,DeliveryService,DailyOrderVolume,risk,IsLate,key_driver
ORD2785,GrabExpress,Klang Valley,Same Day,47,99,1,High daily volume
ORD1549,Lalamove,Klang Valley,Same Day,45,99,1,High daily volume
ORD1573,GrabExpress,Klang Valley,Same Day,45,99,1,High daily volume
ORD2772,In-house Rider,Klang Valley,Same Day,47,99,1,High daily volume
ORD2743,GrabExpress,Klang Valley,Same Day,49,99,1,High daily volume
ORD2732,GrabExpress,Klang Valley,Same Day,49,99,1,High daily volume
ORD2747,GrabExpress,Klang Valley,Same Day,49,99,1,High daily volume
ORD2804,GrabExpress,Klang Valley,Same Day,47,99,1,High daily volume
ORD2812,GrabExpress,Klang Valley,Same Day,47,99,1,High daily volume
ORD2755,GrabExpress,Klang Valley,Same Day,49,99,1,High daily volume
ORD2815,GrabExpress,Klang Valley,Same Day,47,99,1,High daily volume
ORD2797,In-house Rider,Klang Valley,Same Day,47,99,1,High daily volume
ORD1598,Lalamove,Klang Valley,Same Day,57,99,1,High daily volume
ORD3269,Lalamove,Klang Valley,Same Day,11,98,1,Tight requested window
ORD1159,GrabExpress,Klang Valley,Same Day,11,98,1,Tight requested window
ORD2795,Lalamove,Klang Valley,Same Day,47,98,1,High daily volume
ORD2722,In-house Rider,Klang Valley,Same Day,49,98,1,High daily volume
ORD2691,Lalamove,Klang Valley,Same Day,36,98,1,High daily volume
ORD2780,Lalamove,Klang Valley,Same Day,47,98,1,High daily volume
ORD2657,In-house Rider,Klang Valley,Same Day,37,98,1,High daily volume
ORD1609,In-house Rider,Klang Valley,Same Day,57,98,1,High daily volume
ORD3295,Lalamove,Klang Valley,Same Day,11,98,1,Tight requested window
ORD1504,Lalamove,Klang Valley,Same Day,38,98,1,High daily volume
ORD2062,Ninja Van,Johor Bahru,Next Day,9,98,1,Order hour
ORD1547,In-house Rider,Klang Valley,Same Day,45,98,1,High daily volume
ORD2745,GrabExpress,Klang Valley,Same Day,49,98,1,High daily volume
ORD2792,Lalamove,Klang Valley,Same Day,47,98,1,High daily volume
ORD2679,GrabExpress,Klang Valley,Same Day,37,98,1,High daily volume
ORD2762,J&T Express,Johor Bahru,Next Day,49,98,1,High daily volume
ORD1569,In-house Rider,Klang Valley,Same Day,45,97,1,High daily volume
ORD2110,GrabExpress,Klang Valley,Same Day,10,97,0,Tight requested window
ORD1521,Lalamove,Klang Valley,Same Day,38,97,1,High daily volume
ORD1581,In-house Rider,Klang Valley,Same Day,45,97,1,High daily volume
ORD1607,GrabExpress,Klang Valley,Same Day,57,97,1,High daily volume
ORD2786,In-house Rider,Klang Valley,Same Day,47,97,1,High daily volume
ORD2829,GrabExpress,Klang Valley,Same Day,12,97,1,Tight requested window
ORD2651,Lalamove,Klang Valley,Same Day,37,97,0,High daily volume
ORD2705,Lalamove,Klang Valley,Same Day,36,97,1,High daily volume
ORD2760,Ninja Van,Penang,Scheduled,49,97,1,High daily volume
ORD2673,Lalamove,Klang Valley,Same Day,37,97,1,High daily volume
ORD1558,In-house Rider,Klang Valley,Same Day,45,96,0,High daily volume
ORD1620,J&T Express,Penang,Next Day,57,96,1,High daily volume
ORD1489,In-house Rider,Klang Valley,Same Day,31,96,1,High daily volume
ORD2768,J&T Express,Penang,Next Day,49,96,1,High daily volume
ORD2121,Ninja Van,Other,Next Day,6,96,1,Order hour
ORD2472,Lalamove,Klang Valley,Same Day,9,96,1,Tight requested window
ORD1796,Ninja Van,Other,Next Day,8,96,1,Order hour
ORD1517,Lalamove,Klang Valley,Same Day,38,96,1,High daily volume
ORD1608,Lalamove,Klang Valley,Scheduled,57,95,1,High daily volume
ORD1610,Pos Laju,Johor Bahru,Scheduled,57,95,1,High daily volume
ORD3296,Ninja Van,Other,Next Day,11,95,1,Other zone
ORD1625,GrabExpress,Klang Valley,Same Day,57,95,1,High daily volume
ORD2649,In-house Rider,Klang Valley,Same Day,37,95,1,High daily volume
ORD1495,In-house Rider,Klang Valley,Same Day,31,95,1,Tight requested window
ORD2711,In-house Rider,Klang Valley,Same Day,36,95,1,High daily volume
ORD1615,J&T Express,Penang,Next Day,57,95,1,High daily volume
ORD2699,Pos Laju,Penang,Scheduled,36,94,1,High daily volume
ORD2135,Ninja Van,Other,Next Day,9,94,1,Order value
ORD2311,Pos Laju,Other,Scheduled,16,94,1,Klang Valley zone
ORD2295,Ninja Van,Other,Scheduled,11,94,1,Klang Valley zone
ORD1477,In-house Rider,Klang Valley,Same Day,31,94,1,Tight requested window
ORD2034,Lalamove,Klang Valley,Same Day,9,94,1,Tight requested window
ORD1562,GrabExpress,Klang Valley,Same Day,45,94,1,High daily volume
ORD2830,GrabExpress,Klang Valley,Same Day,12,94,1,Tight requested window
ORD2670,GrabExpress,Klang Valley,Same Day,37,94,1,High daily volume
ORD2703,In-house Rider,Klang Valley,Same Day,36,94,1,High daily volume
ORD2764,Ninja Van,Klang Valley,Next Day,49,94,1,High daily volume
ORD2713,Lalamove,Klang Valley,Same Day,36,94,1,High daily volume
ORD1505,In-house Rider,Klang Valley,Same Day,38,94,1,High daily volume
ORD1259,Pos Laju,Penang,Next Day,10,94,1,Klang Valley zone
ORD1576,GrabExpress,Klang Valley,Same Day,45,94,1,High daily volume
ORD1808,GrabExpress,Klang Valley,Same Day,13,93,1,Tight requested window
ORD1636,Pos Laju,Penang,Next Day,57,93,1,High daily volume
ORD3002,J&T Express,Other,Next Day,12,93,1,Tight requested window
ORD1863,Ninja Van,Johor Bahru,Scheduled,15,93,1,Klang Valley zone
ORD1837,Ninja Van,Other,Scheduled,14,93,1,Klang Valley zone
ORD2312,Lalamove,Klang Valley,Same Day,16,93,1,Tight requested window
ORD1559,In-house Rider,Klang Valley,Same Day,45,93,1,High daily volume
ORD3351,Pos Laju,Other,Next Day,12,93,1,Order hour
ORD1503,In-house Rider,Klang Valley,Same Day,38,92,0,High daily volume
ORD1531,GrabExpress,Klang Valley,Same Day,38,92,1,High daily volume
ORD2116,Ninja Van,Penang,Scheduled,10,92,1,Ninja Van
ORD3117,Ninja Van,Other,Scheduled,12,92,1,Klang Valley zone
ORD3218,J&T Express,Penang,Next Day,19,92,1,Order value
ORD1195,In-house Rider,Klang Valley,Same Day,16,92,1,Tight requested window
ORD1086,Lalamove,Klang Valley,Same Day,10,92,1,Tight requested window
ORD1529,Lalamove,Klang Valley,Same Day,38,92,1,High daily volume
ORD2648,Lalamove,Klang Valley,Same Day,37,92,1,High daily volume
ORD1630,Ninja Van,Johor Bahru,Next Day,57,92,1,High daily volume
ORD2738,J&T Express,Johor Bahru,Next Day,49,92,1,High daily volume
ORD2982,Ninja Van,Penang,Scheduled,18,92,1,Klang Valley zone
ORD1624,Ninja Van,Penang,Next Day,57,92,1,High daily volume
ORD1578,Ninja Van,Other,Scheduled,45,91,1,High daily volume
ORD1494,GrabExpress,Klang Valley,Same Day,31,91,1,High daily volume
ORD3312,In-house Rider,Klang Valley,Same Day,16,91,1,Tight requested window
ORD1224,Ninja Van,Penang,Next Day,11,91,1,Klang Valley zone
ORD2895,Lalamove,Klang Valley,Same Day,17,91,1,Tight requested window
ORD2277,Ninja Van,Penang,Next Day,12,91,1,Klang Valley zone
ORD2354,In-house Rider,Klang Valley,Same Day,13,91,1,Tight requested window
ORD1274,Lalamove,Klang Valley,Same Day,14,91,1,Tight requested window
ORD2296,Pos Laju,Johor Bahru,Next Day,11,91,1,Order hour
ORD1352,J&T Express,Penang,Next Day,14,91,1,Tight requested window
ORD1742,J&T Express,Other,Next Day,10,91,1,Tight requested window
ORD2721,Lalamove,Klang Valley,Scheduled,49,90,1,High daily volume
ORD2625,Pos Laju,Other,Next Day,26,90,1,Tight requested window
ORD1485,Ninja Van,Klang Valley,Next Day,31,90,1,Order hour
ORD2803,Pos Laju,Penang,Next Day,47,90,1,High daily volume
ORD1476,Lalamove,Klang Valley,Same Day,31,90,1,High daily volume
ORD1262,Lalamove,Klang Valley,Same Day,14,90,0,Tight requested window
ORD2432,J&T Express,Other,Next Day,15,90,0,Order value
ORD3142,J&T Express,Penang,Scheduled,16,90,1,Klang Valley zone
ORD1512,Pos Laju,Penang,Scheduled,38,90,1,High daily volume
ORD2566,Ninja Van,Penang,Next Day,10,90,1,Ninja Van
ORD2652,In-house Rider,Klang Valley,Same Day,37,90,1,High daily volume
ORD2592,In-house Rider,Klang Valley,Same Day,13,90,1,Tight requested window
ORD2127,Ninja Van,Penang,Scheduled,8,90,1,Ninja Van
ORD2941,Ninja Van,Other,Next Day,8,89,1,Ninja Van
ORD2810,GrabExpress,Klang Valley,Next Day,47,89,1,High daily volume
ORD1067,J&T Express,Johor Bahru,Next Day,7,89,1,Order weekday
ORD1482,Lalamove,Klang Valley,Same Day,31,89,1,High daily volume
ORD1516,Pos Laju,Johor Bahru,Scheduled,38,89,1,High daily volume
ORD2546,Pos Laju,Other,Scheduled,15,89,1,Order value
ORD1571,In-house Rider,Klang Valley,Same Day,45,88,0,High daily volume
ORD3164,Pos Laju,Other,Scheduled,11,88,1,Klang Valley zone
ORD2353,GrabExpress,Klang Valley,Same Day,13,88,1,Tight requested window
ORD2044,J&T Express,Penang,Next Day,9,88,1,Order weekday
ORD2008,Ninja Van,Other,Next Day,14,88,1,Order hour
ORD3290,Lalamove,Klang Valley,Same Day,11,88,1,Tight requested window
ORD1360,Ninja Van,Penang,Scheduled,8,88,1,Ninja Van
ORD1532,GrabExpress,Klang Valley,Same Day,38,87,0,High daily volume
ORD1106,Ninja Van,Other,Next Day,13,87,1,Other zone
ORD2712,In-house Rider,Klang Valley,Same Day,36,87,1,High daily volume
ORD1481,Lalamove,Klang Valley,Same Day,31,87,1,High daily volume
ORD3404,Ninja Van,Johor Bahru,Next Day,10,87,1,Ninja Van
ORD2516,J&T Express,Other,Next Day,10,87,1,Other zone
ORD1213,GrabExpress,Klang Valley,Same Day,11,87,1,Tight requested window
ORD1693,In-house Rider,Klang Valley,Same Day,23,87,1,Tight requested window
ORD2993,GrabExpress,Klang Valley,Same Day,9,86,1,Tight requested window
ORD2749,Lalamove,Klang Valley,Scheduled,49,86,1,High daily volume
ORD1431,Pos Laju,Other,Next Day,15,86,1,Order value
ORD3020,GrabExpress,Klang Valley,Same Day,10,86,1,Tight requested window
ORD2207,In-house Rider,Klang Valley,Same Day,14,86,1,Tight requested window
ORD3259,Lalamove,Klang Valley,Same Day,10,86,1,Tight requested window
ORD1437,Pos Laju,Other,Next Day,15,86,1,Other zone
ORD1815,Pos Laju,Other,Scheduled,13,85,1,Klang Valley zone
ORD3053,J&T Express,Johor Bahru,Scheduled,15,85,1,Klang Valley zone
ORD1997,J&T Express,Penang,Next Day,17,85,1,J&T Express
ORD2015,In-house Rider,Klang Valley,Same Day,14,85,1,Tight requested window
ORD2643,Pos Laju,Other,Next Day,26,85,1,Other zone
ORD2744,GrabExpress,Klang Valley,Scheduled,49,85,1,High daily volume
ORD3391,In-house Rider,Klang Valley,Same Day,14,84,1,Tight requested window
ORD2021,Pos Laju,Other,Scheduled,11,84,1,Other zone
ORD2064,J&T Express,Johor Bahru,Next Day,9,84,1,J&T Express
ORD3251,Pos Laju,Johor Bahru,Next Day,10,84,1,Tight requested window
ORD2143,In-house Rider,Klang Valley,Same Day,12,84,1,Tight requested window
ORD1663,J&T Express,Other,Next Day,26,84,1,Klang Valley zone
ORD1035,J&T Express,Penang,Next Day,15,84,1,J&T Express
ORD2635,Lalamove,Klang Valley,Same Day,26,84,1,Tight requested window
ORD1196,Ninja Van,Johor Bahru,Scheduled,16,84,1,Klang Valley zone
ORD3392,In-house Rider,Klang Valley,Same Day,14,84,0,Tight requested window
ORD1142,Lalamove,Klang Valley,Same Day,13,84,1,Tight requested window
ORD2196,Ninja Van,Johor Bahru,Next Day,11,83,1,Klang Valley zone
ORD2892,Lalamove,Klang Valley,Same Day,17,83,1,Tight requested window
ORD1236,GrabExpress,Klang Valley,Same Day,12,83,1,Tight requested window
ORD3319,In-house Rider,Klang Valley,Same Day,16,83,1,Tight requested window
ORD1429,Ninja Van,Penang,Next Day,15,83,1,Ninja Van
ORD1764,Ninja Van,Klang Valley,Next Day,12,83,1,Order hour
ORD1528,Ninja Van,Penang,Next Day,38,83,1,High daily volume
ORD3248,In-house Rider,Klang Valley,Same Day,13,82,1,Tight requested window
ORD2123,J&T Express,Other,Scheduled,6,82,1,Klang Valley zone
ORD1885,In-house Rider,Klang Valley,Same Day,11,82,1,Tight requested window
ORD1054,Lalamove,Klang Valley,Same Day,11,82,1,Tight requested window
ORD2102,GrabExpress,Klang Valley,Same Day,11,82,1,Tight requested window
ORD2820,Ninja Van,Klang Valley,Next Day,11,82,1,Order value
ORD3092,GrabExpress,Klang Valley,Same Day,12,82,1,Tight requested window
ORD2551,Ninja Van,Other,Next Day,10,82,1,Klang Valley zone
ORD2695,In-house Rider,Klang Valley,Same Day,36,82,0,High daily volume
ORD2224,Ninja Van,Other,Scheduled,13,81,1,Klang Valley zone
ORD1302,J&T Express,Johor Bahru,Next Day,12,81,1,Klang Valley zone
ORD1905,In-house Rider,Klang Valley,Same Day,14,81,0,Tight requested window
ORD2496,J&T Express,Johor Bahru,Next Day,17,81,1,Klang Valley zone
ORD1185,GrabExpress,Klang Valley,Same Day,13,81,0,Tight requested window
ORD2208,Ninja Van,Johor Bahru,Scheduled,14,81,1,Klang Valley zone
ORD2408,J&T Express,Other,Next Day,13,81,1,Other zone
ORD2965,Ninja Van,Penang,Next Day,12,81,0,Ninja Van
ORD2158,Lalamove,Klang Valley,Same Day,16,80,1,Tight requested window
ORD1008,In-house Rider,Klang Valley,Same Day,11,80,1,Order value
ORD2488,GrabExpress,Klang Valley,Same Day,11,80,1,Tight requested window
ORD1720,GrabExpress,Klang Valley,Same Day,9,80,1,Tight requested window
ORD2801,GrabExpress,Klang Valley,Scheduled,47,80,1,High daily volume
ORD2309,In-house Rider,Klang Valley,Same Day,16,80,1,Tight requested window
ORD1490,Lalamove,Klang Valley,Same Day,31,79,0,High daily volume
ORD2441,GrabExpress,Klang Valley,Same Day,13,79,1,Order value
ORD3398,In-house Rider,Klang Valley,Same Day,14,79,0,Tight requested window
ORD2660,In-house Rider,Klang Valley,Same Day,37,79,1,High daily volume
ORD3266,GrabExpress,Klang Valley,Same Day,11,79,1,Tight requested window
ORD3280,In-house Rider,Klang Valley,Same Day,15,78,1,Tight requested window
ORD1835,GrabExpress,Klang Valley,Same Day,14,78,1,Tight requested window
ORD1525,In-house Rider,Klang Valley,Same Day,38,78,0,High daily volume
ORD2854,In-house Rider,Klang Valley,Same Day,16,78,1,Tight requested window
ORD1260,Lalamove,Klang Valley,Same Day,10,78,1,Tight requested window
ORD1110,J&T Express,Other,Next Day,13,78,1,Klang Valley zone
ORD3335,Pos Laju,Other,Next Day,11,78,0,Other zone
ORD2914,GrabExpress,Klang Valley,Same Day,13,78,1,Tight requested window
ORD2073,Lalamove,Klang Valley,Same Day,11,78,1,Tight requested window
ORD2063,GrabExpress,Klang Valley,Same Day,9,77,1,Tight requested window
ORD1398,In-house Rider,Klang Valley,Same Day,13,77,1,Tight requested window
ORD3067,J&T Express,Penang,Next Day,17,77,1,J&T Express
ORD2672,In-house Rider,Klang Valley,Same Day,37,77,1,Tight requested window
ORD2572,GrabExpress,Klang Valley,Same Day,11,76,0,Tight requested window
ORD1976,In-house Rider,Klang Valley,Same Day,13,76,0,Tight requested window
ORD2378,Ninja Van,Penang,Scheduled,8,76,0,Ninja Van
ORD3062,In-house Rider,Klang Valley,Same Day,17,75,1,Tight requested window
ORD1729,Pos Laju,Other,Next Day,9,75,0,Klang Valley zone
ORD2315,In-house Rider,Klang Valley,Same Day,16,75,1,Tight requested window
ORD1207,In-house Rider,Klang Valley,Same Day,16,74,0,Tight requested window
ORD1768,In-house Rider,Klang Valley,Same Day,12,74,0,Tight requested window
ORD2341,Lalamove,Klang Valley,Same Day,17,74,1,Order value
ORD2917,J&T Express,Johor Bahru,Next Day,13,74,1,Klang Valley zone
ORD2918,Ninja Van,Other,Next Day,13,73,0,Klang Valley zone
ORD2717,GrabExpress,Klang Valley,Same Day,36,73,0,High daily volume
ORD1737,GrabExpress,Klang Valley,Same Day,10,72,0,Tight requested window
ORD2446,Lalamove,Klang Valley,Same Day,13,72,1,Tight requested window
ORD1942,GrabExpress,Klang Valley,Same Day,12,72,0,Tight requested window
ORD1520,In-house Rider,Klang Valley,Same Day,38,72,0,High daily volume
ORD1472,Lalamove,Klang Valley,Same Day,31,72,1,High daily volume
ORD3003,Ninja Van,Other,Next Day,12,72,0,Klang Valley zone
ORD2042,Pos Laju,Johor Bahru,Next Day,9,71,1,Klang Valley zone
ORD3389,In-house Rider,Klang Valley,Same Day,14,71,1,Tight requested window
ORD2960,Pos Laju,Other,Scheduled,12,71,0,Other zone
ORD1743,Lalamove,Klang Valley,Same Day,10,71,1,Tight requested window
ORD3345,Ninja Van,Other,Next Day,12,70,0,Klang Valley zone
ORD3210,GrabExpress,Klang Valley,Same Day,12,70,1,Tight requested window
ORD2310,Lalamove,Klang Valley,Same Day,16,70,0,Tight requested window
ORD2681,In-house Rider,Klang Valley,Same Day,37,70,0,High daily volume
ORD3167,In-house Rider,Klang Valley,Same Day,13,70,0,Tight requested window
ORD2716,GrabExpress,Klang Valley,Same Day,36,69,0,High daily volume
ORD3106,Pos Laju,Penang,Scheduled,12,69,1,Klang Valley zone
ORD2298,GrabExpress,Klang Valley,Same Day,11,69,0,Tight requested window
ORD3048,Ninja Van,Penang,Next Day,15,68,0,Tight requested window
ORD2680,In-house Rider,Klang Valley,Same Day,37,68,0,High daily volume
ORD3383,GrabExpress,Klang Valley,Same Day,13,68,1,Tight requested window
ORD2206,In-house Rider,Klang Valley,Same Day,14,67,0,Tight requested window
ORD3433,J&T Express,Johor Bahru,Next Day,10,67,0,Klang Valley zone
ORD2259,GrabExpress,Klang Valley,Same Day,15,67,1,Tight requested window
ORD1601,Pos Laju,Penang,Next Day,57,66,0,High daily volume
ORD1980,In-house Rider,Klang Valley,Same Day,13,66,1,Tight requested window
ORD2903,In-house Rider,Klang Valley,Same Day,17,66,0,Tight requested window
ORD1912,Lalamove,Klang Valley,Same Day,14,66,0,Tight requested window
ORD1497,Ninja Van,Other,Next Day,31,65,0,Order hour
ORD1971,GrabExpress,Klang Valley,Same Day,13,64,0,Tight requested window
ORD1209,In-house Rider,Klang Valley,Same Day,16,64,0,Tight requested window
ORD3393,Lalamove,Klang Valley,Same Day,14,63,0,Tight requested window
ORD3250,Ninja Van,Klang Valley,Next Day,10,63,0,Order hour
ORD3359,GrabExpress,Klang Valley,Same Day,12,61,0,Tight requested window
ORD2293,GrabExpress,Klang Valley,Same Day,14,61,0,Tight requested window
ORD2894,Ninja Van,Penang,Next Day,17,60,0,Klang Valley zone
ORD1293,Lalamove,Klang Valley,Same Day,10,60,0,Tight requested window
ORD2869,Ninja Van,Other,Scheduled,14,59,0,Klang Valley zone
ORD1523,In-house Rider,Klang Valley,Same Day,38,59,1,High daily volume
ORD2321,Ninja Van,Johor Bahru,Next Day,16,58,1,Klang Valley zone
ORD1479,GrabExpress,Klang Valley,Same Day,31,58,1,High daily volume
ORD1453,Ninja Van,Johor Bahru,Scheduled,26,58,0,Klang Valley zone
ORD2616,In-house Rider,Klang Valley,Same Day,13,57,0,Tight requested window
ORD1996,J&T Express,Other,Next Day,17,56,0,Klang Valley zone
ORD1724,GrabExpress,Klang Valley,Same Day,9,56,0,Tight requested window
ORD2483,J&T Express,Other,Next Day,9,56,0,Tight requested window
ORD2573,J&T Express,Other,Next Day,11,56,0,Klang Valley zone
ORD2618,GrabExpress,Klang Valley,Same Day,13,55,0,Tight requested window
ORD2701,In-house Rider,Klang Valley,Same Day,36,55,0,High daily volume
ORD1441,Ninja Van,Other,Next Day,8,55,0,Ninja Van
ORD2174,In-house Rider,Klang Valley,Same Day,13,55,0,Tight requested window
ORD1002,Lalamove,Klang Valley,Same Day,11,55,0,Tight requested window
ORD3039,In-house Rider,Klang Valley,Same Day,12,54,0,Tight requested window
ORD2790,J&T Express,Penang,Next Day,47,54,0,High daily volume
ORD2426,GrabExpress,Klang Valley,Same Day,15,54,0,Tight requested window
ORD1333,Lalamove,Klang Valley,Same Day,13,54,0,Tight requested window
ORD2069,Lalamove,Klang Valley,Same Day,9,54,0,Tight requested window
ORD1939,Ninja Van,Penang,Next Day,13,54,0,Klang Valley zone
ORD2431,GrabExpress,Klang Valley,Same Day,15,54,0,Tight requested window
ORD2958,Pos Laju,Penang,Next Day,12,53,0,Klang Valley zone
ORD1024,GrabExpress,Klang Valley,Same Day,12,53,0,Tight requested window
ORD2316,In-house Rider,Klang Valley,Same Day,16,53,0,Tight requested window
ORD3183,GrabExpress,Klang Valley,Same Day,15,52,1,Tight requested window
ORD2202,Pos Laju,Other,Next Day,11,52,0,Klang Valley zone
ORD2677,Pos Laju,Other,Next Day,37,52,0,High daily volume
ORD1564,In-house Rider,Klang Valley,Same Day,45,52,0,High daily volume
ORD3379,GrabExpress,Klang Valley,Same Day,13,52,0,Tight requested window
ORD1465,In-house Rider,Klang Valley,Same Day,26,51,0,Tight requested window
ORD1032,J&T Express,Other,Next Day,12,51,0,Klang Valley zone
ORD2134,Ninja Van,Other,Next Day,9,51,0,Ninja Van
ORD2336,In-house Rider,Klang Valley,Same Day,17,51,0,Tight requested window
ORD2506,GrabExpress,Klang Valley,Same Day,17,51,0,Tight requested window
ORD2248,GrabExpress,Klang Valley,Same Day,10,51,0,Tight requested window
ORD2204,In-house Rider,Klang Valley,Same Day,11,51,0,Tight requested window
ORD1508,In-house Rider,Klang Valley,Same Day,38,51,0,Tight requested window
ORD2730,Ninja Van,Johor Bahru,Scheduled,49,51,0,High daily volume
ORD1524,J&T Express,Penang,Next Day,38,51,0,High daily volume
ORD2834,GrabExpress,Klang Valley,Same Day,12,51,0,Tight requested window
ORD2781,J&T Express,Penang,Scheduled,47,50,0,High daily volume
ORD2159,GrabExpress,Klang Valley,Same Day,16,50,0,Tight requested window
ORD3177,Ninja Van,Other,Scheduled,13,50,0,Klang Valley zone
ORD3074,GrabExpress,Klang Valley,Same Day,11,50,0,Order value
ORD1994,Lalamove,Klang Valley,Same Day,17,49,0,Tight requested window
ORD3268,J&T Express,Other,Next Day,11,48,0,Klang Valley zone
ORD2818,J&T Express,Other,Next Day,11,48,0,Klang Valley zone
ORD3114,In-house Rider,Klang Valley,Same Day,12,47,0,Tight requested window
ORD2777,GrabExpress,Klang Valley,Next Day,47,47,0,High daily volume
ORD1480,In-house Rider,Klang Valley,Same Day,31,47,0,High daily volume
ORD1929,GrabExpress,Klang Valley,Same Day,13,47,0,Tight requested window
ORD1975,Ninja Van,Penang,Next Day,13,47,0,Klang Valley zone
ORD3256,GrabExpress,Klang Valley,Same Day,10,47,0,Tight requested window
ORD1391,In-house Rider,Klang Valley,Same Day,13,47,0,Tight requested window
ORD2166,J&T Express,Other,Next Day,16,47,0,Tight requested window
ORD2863,GrabExpress,Klang Valley,Same Day,14,47,0,Order value
ORD2459,GrabExpress,Klang Valley,Same Day,13,47,0,Tight requested window
ORD1981,In-house Rider,Klang Valley,Same Day,13,47,0,Tight requested window
ORD1662,J&T Express,Other,Next Day,26,47,0,Klang Valley zone
ORD2141,GrabExpress,Klang Valley,Same Day,12,47,0,Tight requested window
ORD3204,In-house Rider,Klang Valley,Same Day,13,46,0,Tight requested window
ORD1968,In-house Rider,Klang Valley,Same Day,13,46,0,Tight requested window
ORD2951,GrabExpress,Klang Valley,Same Day,12,46,0,Tight requested window
ORD1728,In-house Rider,Klang Valley,Same Day,9,46,0,Tight requested window
ORD2252,Pos Laju,Other,Scheduled,10,46,1,Other zone
ORD2609,J&T Express,Other,Next Day,13,45,0,Klang Valley zone
ORD2530,Ninja Van,Other,Next Day,10,45,1,Klang Valley zone
ORD3018,GrabExpress,Klang Valley,Same Day,10,45,0,Tight requested window
ORD2610,J&T Express,Johor Bahru,Next Day,13,45,0,Klang Valley zone
ORD1166,J&T Express,Other,Next Day,9,45,0,Klang Valley zone
ORD3293,GrabExpress,Klang Valley,Same Day,11,45,0,Tight requested window
ORD3243,GrabExpress,Klang Valley,Same Day,13,45,0,Tight requested window
ORD2433,GrabExpress,Klang Valley,Same Day,15,45,0,Tight requested window
ORD1446,GrabExpress,Klang Valley,Same Day,26,44,0,Tight requested window
ORD2751,Ninja Van,Penang,Next Day,49,44,0,High daily volume
ORD1101,GrabExpress,Klang Valley,Same Day,13,44,0,Tight requested window
ORD2361,Ninja Van,Other,Next Day,13,44,0,Other zone
ORD1491,Ninja Van,Penang,Scheduled,31,44,0,Klang Valley zone
ORD1982,Ninja Van,Other,Scheduled,13,44,0,Ninja Van
ORD2510,In-house Rider,Klang Valley,Same Day,17,43,0,Tight requested window
ORD3194,In-house Rider,Klang Valley,Same Day,13,43,0,Tight requested window
ORD3338,J&T Express,Other,Next Day,6,42,0,Klang Valley zone
