OrderID,Courier,DeliveryZone,DeliveryService,DailyOrderVolume,risk,key_driver,OnTime,LatenessHours,RefundAmount,CourierDelayHours,InternalDelayHours
ORD1056,In-house Rider,Klang Valley,Same Day,11,4,Tight requested window,True,0.2333333333333333,0.0,0.2833333333333332,0.0
ORD1139,Pos Laju,Penang,Scheduled,14,5,Klang Valley zone,True,-0.3666666666666666,0.0,0.3833333333333328,0.0
ORD1126,GrabExpress,Klang Valley,Scheduled,14,1,In-house Rider,True,-0.0666666666666666,0.0,0.0,0.4416666666666666
ORD1067,J&T Express,Johor Bahru,Next Day,7,89,Order weekday,False,30.816666666666663,67.55,25.15833333333333,5.658333333333331
ORD1121,Lalamove,Klang Valley,Scheduled,13,0,Anniversary occasion,True,0.5333333333333333,0.0,0.0,0.6833333333333333
ORD1124,In-house Rider,Klang Valley,Scheduled,13,0,Order value,True,1.3,0.0,0.3833333333333331,0.9166666666666669
ORD1123,Lalamove,Klang Valley,Scheduled,13,0,Order weekday,True,0.0333333333333333,0.0,0.2833333333333334,0.0
ORD1134,J&T Express,Penang,Scheduled,14,2,Klang Valley zone,True,1.1333333333333333,0.0,3.2250000000000014,0.0
ORD1105,GrabExpress,Klang Valley,Scheduled,13,0,Lalamove,True,0.55,0.0,0.375,0.175
ORD1064,Lalamove,Klang Valley,Same Day,7,0,In-house Rider,True,0.0666666666666666,0.0,0.0,0.7333333333333333
ORD1075,Pos Laju,Other,Next Day,12,23,Klang Valley zone,True,2.7333333333333334,0.0,6.433333333333334,0.0
ORD1095,GrabExpress,Klang Valley,Scheduled,10,1,In-house Rider,True,0.45,0.0,0.0,0.8916666666666667
ORD1116,GrabExpress,Klang Valley,Scheduled,13,0,Lalamove,True,-0.2333333333333333,0.0,0.1416666666666666,0.0
ORD1069,Ninja Van,Other,Next Day,12,23,Klang Valley zone,False,16.05,225.97,14.25,1.7999999999999972
ORD1088,GrabExpress,Klang Valley,Scheduled,10,1,In-house Rider,True,0.55,0.0,0.2083333333333332,0.3416666666666668
ORD1085,Lalamove,Klang Valley,Scheduled,10,0,In-house Rider,True,0.1833333333333333,0.0,0.0,0.5666666666666667
ORD1068,Lalamove,Klang Valley,Same Day,12,3,Tight requested window,True,0.4833333333333333,0.0,0.0,0.5999999999999999
ORD1072,Lalamove,Klang Valley,Same Day,12,19,Order value,True,0.9,0.0,0.5499999999999998,0.3499999999999998
ORD1074,Lalamove,Klang Valley,Same Day,12,17,Order value,True,0.2166666666666666,0.0,0.1500000000000001,0.0666666666666666
ORD1153,In-house Rider,Klang Valley,Scheduled,11,0,Bouquet,True,0.1333333333333333,0.0,0.0,0.4833333333333334
ORD1076,Lalamove,Klang Valley,Same Day,12,8,Tight requested window,True,0.25,0.0,0.4333333333333335,0.0
ORD1149,Lalamove,Klang Valley,Scheduled,13,0,In-house Rider,True,0.0333333333333333,0.0,0.4166666666666665,0.0
ORD1133,Lalamove,Klang Valley,Scheduled,14,1,Order value,True,0.2,0.0,0.1166666666666667,0.0833333333333332
ORD1122,In-house Rider,Klang Valley,Scheduled,13,0,Lalamove,True,0.6833333333333333,0.0,0.1833333333333333,0.5
ORD1103,J&T Express,Penang,Scheduled,13,7,Klang Valley zone,True,1.3166666666666669,0.0,0.0,1.6583333333333314
ORD1143,GrabExpress,Klang Valley,Scheduled,13,1,Lalamove,True,1.2333333333333334,0.0,0.7083333333333333,0.5249999999999999
ORD1156,GrabExpress,Klang Valley,Scheduled,11,0,In-house Rider,True,-0.3666666666666666,0.0,0.5083333333333335,0.0
ORD1118,In-house Rider,Klang Valley,Scheduled,13,0,Lalamove,True,0.5,0.0,0.0166666666666666,0.4833333333333334
ORD1132,GrabExpress,Klang Valley,Scheduled,14,0,Lalamove,True,0.2833333333333333,0.0,0.3083333333333333,0.0
ORD1151,GrabExpress,Klang Valley,Scheduled,13,1,Order value,True,2.0,0.0,1.9583333333333333,0.0416666666666667
ORD1091,Pos Laju,Other,Next Day,10,37,Other zone,True,-0.3166666666666666,0.0,3.4833333333333343,0.0
ORD1108,Lalamove,Klang Valley,Scheduled,13,1,Order hour,True,-0.0833333333333333,0.0,0.1999999999999999,0.0
ORD1089,Lalamove,Klang Valley,Same Day,10,11,Tight requested window,True,-0.15,0.0,0.0,0.0
ORD1127,GrabExpress,Klang Valley,Scheduled,14,0,Lalamove,True,0.1666666666666666,0.0,0.3583333333333334,0.0
ORD1083,GrabExpress,Klang Valley,Same Day,10,31,Order value,True,0.5833333333333334,0.0,0.5083333333333335,0.0749999999999999
ORD1093,Pos Laju,Other,Next Day,10,30,Other zone,True,0.75,0.0,5.199999999999999,0.0
ORD1164,J&T Express,Penang,Scheduled,9,1,Klang Valley zone,True,1.0,0.0,0.0,1.8083333333333336
ORD1084,In-house Rider,Klang Valley,Same Day,10,2,Birthday occasion,True,0.25,59.61,0.0,0.8500000000000001
ORD1104,Lalamove,Klang Valley,Scheduled,13,0,Next Day service,True,0.4833333333333333,0.0,0.4166666666666665,0.0666666666666666
ORD1135,Lalamove,Klang Valley,Scheduled,14,0,In-house Rider,True,0.4,0.0,0.8833333333333333,0.0
ORD1154,In-house Rider,Klang Valley,Scheduled,11,0,Lalamove,True,0.2166666666666666,0.0,0.4333333333333333,0.0
ORD1086,Lalamove,Klang Valley,Same Day,10,92,Tight requested window,False,1.4,0.0,1.1833333333333336,0.2166666666666665
ORD1144,Pos Laju,Other,Scheduled,13,11,Klang Valley zone,True,-0.9,0.0,0.0,0.0
ORD1165,Lalamove,Klang Valley,Scheduled,9,0,In-house Rider,True,0.3666666666666666,0.0,1.0333333333333332,0.0
ORD1092,GrabExpress,Klang Valley,Same Day,10,35,Tight requested window,True,0.1833333333333333,0.0,0.0,0.4416666666666666
ORD1112,Lalamove,Klang Valley,Next Day,13,1,Order hour,True,0.6,0.0,0.0,0.8666666666666666
ORD1099,In-house Rider,Klang Valley,Same Day,10,17,Tight requested window,True,-0.2,0.0,0.0,0.6500000000000001
ORD1110,J&T Express,Other,Next Day,13,78,Klang Valley zone,False,21.2,169.91,23.725,0.0
ORD1094,Lalamove,Klang Valley,Same Day,10,4,In-house Rider,True,0.5166666666666667,0.0,0.0166666666666666,0.5
ORD1106,Ninja Van,Other,Next Day,13,87,Other zone,False,16.633333333333333,0.0,19.883333333333333,0.0
ORD1097,In-house Rider,Klang Valley,Same Day,10,12,Tight requested window,True,0.6333333333333333,0.0,0.7666666666666664,0.0
ORD1157,Lalamove,Klang Valley,Scheduled,11,1,In-house Rider,True,0.55,0.0,1.0333333333333332,0.0
ORD1100,Ninja Van,Johor Bahru,Next Day,13,13,Klang Valley zone,True,7.433333333333334,0.0,4.050000000000001,3.3833333333333293
ORD1115,Ninja Van,Johor Bahru,Scheduled,13,10,Klang Valley zone,True,0.9833333333333332,89.64,0.6000000000000014,0.3833333333333293
ORD1109,GrabExpress,Klang Valley,Same Day,13,4,Lalamove,True,0.4333333333333333,0.0,0.0,0.6416666666666667
ORD1101,GrabExpress,Klang Valley,Same Day,13,44,Tight requested window,True,0.0333333333333333,0.0,0.0,0.6416666666666667
ORD1193,GrabExpress,Klang Valley,Scheduled,13,0,Lalamove,True,1.0166666666666666,0.0,0.1916666666666666,0.8250000000000001
ORD1147,Pos Laju,Other,Scheduled,13,35,Klang Valley zone,True,0.55,0.0,0.216666666666665,0.3333333333333321
ORD1114,GrabExpress,Klang Valley,Next Day,13,6,Lalamove,True,0.5833333333333334,0.0,0.6083333333333332,0.0
ORD1177,GrabExpress,Klang Valley,Scheduled,8,0,In-house Rider,True,0.0,0.0,0.0,0.5083333333333333
ORD1136,Pos Laju,Penang,Scheduled,14,19,Klang Valley zone,True,-0.4166666666666667,0.0,3.9833333333333343,0.0
ORD1117,J&T Express,Other,Next Day,13,26,Klang Valley zone,True,1.1166666666666667,0.0,0.0,1.7583333333333329
ORD1120,J&T Express,Penang,Next Day,13,23,Klang Valley zone,True,6.6,0.0,0.0,8.058333333333332
ORD1150,GrabExpress,Klang Valley,Scheduled,13,1,Lalamove,True,0.5,0.0,0.9083333333333334,0.0
ORD1199,Lalamove,Klang Valley,Scheduled,16,3,Order hour,True,0.3166666666666666,0.0,0.7166666666666668,0.0
ORD1184,In-house Rider,Klang Valley,Scheduled,13,0,Order weekday,True,0.2166666666666666,0.0,0.2333333333333331,0.0
ORD1152,Ninja Van,Penang,Scheduled,13,26,Klang Valley zone,True,0.8,0.0,0.0,1.466666666666665
ORD1119,In-house Rider,Klang Valley,Same Day,13,2,Same Day service,True,0.4333333333333333,0.0,0.6333333333333331,0.0
ORD1131,J&T Express,Other,Next Day,14,42,Klang Valley zone,True,0.6666666666666666,0.0,5.425000000000001,0.0
ORD1168,Lalamove,Klang Valley,Scheduled,9,0,In-house Rider,True,0.3666666666666666,0.0,0.8833333333333333,0.0
ORD1162,GrabExpress,Klang Valley,Scheduled,11,1,In-house Rider,True,0.5333333333333333,0.0,0.7583333333333335,0.0
ORD1171,Lalamove,Klang Valley,Scheduled,9,0,In-house Rider,True,0.7666666666666667,0.0,0.8666666666666667,0.0
ORD1128,J&T Express,Other,Next Day,14,10,Klang Valley zone,True,2.9,0.0,0.0,5.858333333333331
ORD1146,In-house Rider,Klang Valley,Scheduled,13,0,Lalamove,True,-0.0166666666666666,153.04,0.0166666666666666,0.0
ORD1137,GrabExpress,Klang Valley,Same Day,14,39,Tight requested window,True,-0.0166666666666666,0.0,0.0583333333333333,0.0
ORD1138,In-house Rider,Klang Valley,Same Day,14,6,Tight requested window,True,0.15,0.0,0.0,0.8500000000000001
ORD1130,Lalamove,Klang Valley,Same Day,14,2,Order hour,True,0.3833333333333333,0.0,0.0,1.0666666666666669
ORD1129,Lalamove,Klang Valley,Same Day,14,23,Tight requested window,True,0.5333333333333333,0.0,0.8333333333333335,0.0
ORD1140,Ninja Van,Klang Valley,Next Day,13,9,Ninja Van,True,0.6166666666666667,0.0,8.36666666666667,0.0
ORD1145,Lalamove,Klang Valley,Next Day,13,0,In-house Rider,True,0.85,0.0,0.0833333333333332,0.7666666666666666
ORD1148,Ninja Van,Klang Valley,Next Day,13,3,Ninja Van,True,2.2333333333333334,0.0,2.5500000000000007,0.0
ORD1183,In-house Rider,Klang Valley,Scheduled,13,0,Lalamove,True,-0.1833333333333333,0.0,0.0,0.3833333333333333
ORD1179,GrabExpress,Klang Valley,Scheduled,8,0,Order weekday,True,0.2,0.0,0.0,0.2916666666666667
ORD1141,GrabExpress,Klang Valley,Same Day,13,28,Tight requested window,True,0.1333333333333333,0.0,0.0,0.4583333333333332
ORD1222,Lalamove,Klang Valley,Scheduled,11,0,In-house Rider,True,-0.0333333333333333,0.0,0.0,0.0999999999999998
ORD1155,Ninja Van,Other,Next Day,11,34,Klang Valley zone,True,0.1833333333333333,0.0,5.983333333333334,0.0
ORD1142,Lalamove,Klang Valley,Same Day,13,84,Tight requested window,False,1.25,0.0,1.2166666666666668,0.0333333333333332
ORD1178,Pos Laju,Other,Scheduled,8,21,Klang Valley zone,True,0.7166666666666667,0.0,4.683333333333334,0.0
ORD1192,In-house Rider,Klang Valley,Scheduled,13,1,Order value,True,3.183333333333333,87.58,3.3999999999999995,0.0
ORD1226,Lalamove,Klang Valley,Scheduled,11,0,In-house Rider,True,-0.3,0.0,0.0,0.1666666666666667
ORD1194,In-house Rider,Klang Valley,Scheduled,16,0,Lalamove,True,0.5333333333333333,0.0,0.8166666666666667,0.0
ORD1163,Lalamove,Klang Valley,Next Day,11,1,In-house Rider,True,0.9,0.0,0.9166666666666664,0.0
ORD1231,Lalamove,Klang Valley,Scheduled,11,0,In-house Rider,True,0.5833333333333334,0.0,0.6333333333333333,0.0
ORD1174,Lalamove,Klang Valley,Scheduled,8,0,In-house Rider,True,0.3833333333333333,0.0,0.7999999999999998,0.0
ORD1197,GrabExpress,Klang Valley,Scheduled,16,0,Lalamove,True,0.45,0.0,0.0,0.925
ORD1204,J&T Express,Other,Scheduled,16,1,Klang Valley zone,False,16.266666666666666,0.0,14.725,1.5416666666666643
ORD1166,J&T Express,Other,Next Day,9,45,Klang Valley zone,True,-0.65,0.0,0.0,2.5249999999999986
ORD1160,Lalamove,Klang Valley,Same Day,11,13,In-house Rider,True,0.6833333333333333,0.0,0.1666666666666667,0.5166666666666666
ORD1158,GrabExpress,Klang Valley,Same Day,11,20,Tight requested window,True,0.95,0.0,0.7249999999999999,0.2250000000000001
ORD1161,In-house Rider,Klang Valley,Same Day,11,6,Order hour,True,0.3666666666666666,0.0,0.9000000000000001,0.0
ORD1159,GrabExpress,Klang Valley,Same Day,11,98,Tight requested window,False,3.033333333333333,0.0,2.6916666666666664,0.3416666666666668
ORD1203,GrabExpress,Klang Valley,Scheduled,16,0,Lalamove,True,0.15,0.0,0.2583333333333333,0.0
ORD1242,J&T Express,Johor Bahru,Scheduled,12,1,Klang Valley zone,True,0.7333333333333333,0.0,0.0,4.474999999999998
ORD1186,J&T Express,Johor Bahru,Scheduled,13,8,Klang Valley zone,True,-0.7333333333333333,0.0,0.0,3.2749999999999986
ORD1170,Lalamove,Klang Valley,Same Day,9,15,Tight requested window,True,0.7166666666666667,0.0,0.0,1.0833333333333333
ORD1167,In-house Rider,Klang Valley,Same Day,9,23,Tight requested window,True,0.6,0.0,0.0,1.15
ORD1210,Lalamove,Klang Valley,Scheduled,11,0,In-house Rider,True,0.9833333333333332,254.91,0.7833333333333332,0.1999999999999999
ORD1172,In-house Rider,Klang Valley,Same Day,9,7,Tight requested window,True,0.0333333333333333,0.0,0.0,0.1666666666666667
ORD1169,Lalamove,Klang Valley,Same Day,9,40,Tight requested window,True,0.0333333333333333,0.0,0.0,0.7999999999999999
ORD1196,Ninja Van,Johor Bahru,Scheduled,16,84,Klang Valley zone,False,23.133333333333333,0.0,25.583333333333336,0.0
ORD1205,In-house Rider,Klang Valley,Scheduled,16,0,GrabExpress,True,0.6166666666666667,0.0,0.0,0.6666666666666667
ORD1249,Pos Laju,Johor Bahru,Scheduled,7,3,Klang Valley zone,True,0.0333333333333333,0.0,5.366666666666667,0.0
ORD1180,J&T Express,Penang,Next Day,8,14,Klang Valley zone,True,1.5333333333333334,0.0,0.0,3.658333333333331
ORD1238,GrabExpress,Klang Valley,Scheduled,12,1,Lalamove,True,0.9833333333333332,0.0,0.975,0.0083333333333333
ORD1206,In-house Rider,Klang Valley,Scheduled,16,1,Lalamove,True,0.55,0.0,0.6166666666666665,0.0
ORD1214,In-house Rider,Klang Valley,Scheduled,11,0,Lalamove,True,0.0166666666666666,0.0,0.1166666666666667,0.0
ORD1239,GrabExpress,Klang Valley,Scheduled,12,0,Lalamove,True,0.35,0.0,0.5583333333333333,0.0
ORD1230,Pos Laju,Johor Bahru,Scheduled,11,2,Klang Valley zone,True,1.5333333333333334,41.97,5.733333333333334,0.0
ORD1176,In-house Rider,Klang Valley,Same Day,8,0,Tight requested window,True,0.25,0.0,0.0,0.8666666666666667
ORD1173,Lalamove,Klang Valley,Same Day,8,3,Tight requested window,True,0.5166666666666667,0.0,0.9833333333333334,0.0
ORD1187,GrabExpress,Klang Valley,Next Day,13,1,Lalamove,True,-0.0166666666666666,0.0,0.3249999999999999,0.0
ORD1208,J&T Express,Other,Scheduled,16,25,Klang Valley zone,True,1.4,0.0,4.491666666666667,0.0
ORD1175,GrabExpress,Klang Valley,Same Day,8,2,Order value,True,0.35,0.0,0.6249999999999998,0.0
ORD1189,Lalamove,Klang Valley,Next Day,13,0,Anniversary occasion,True,0.5166666666666667,0.0,0.2333333333333334,0.2833333333333332
ORD1221,Ninja Van,Other,Scheduled,11,26,Klang Valley zone,True,0.0666666666666666,0.0,0.0,0.6999999999999993
ORD1181,Lalamove,Klang Valley,Next Day,13,0,Birthday occasion,True,0.2333333333333333,0.0,0.7999999999999998,0.0
ORD1201,GrabExpress,Klang Valley,Scheduled,16,1,Order value,True,0.4166666666666667,0.0,1.1916666666666669,0.0
ORD1219,In-house Rider,Klang Valley,Scheduled,11,0,Order value,True,0.0,0.0,0.0,0.7666666666666667
ORD1191,Lalamove,Klang Valley,Same Day,13,17,Tight requested window,True,-0.1,0.0,0.0,0.4166666666666667
ORD1188,In-house Rider,Klang Valley,Same Day,13,4,Tight requested window,True,0.0666666666666666,0.0,0.0,0.3333333333333335
ORD1182,In-house Rider,Klang Valley,Same Day,13,3,Tight requested window,True,0.1333333333333333,247.14,0.0,0.2833333333333334
ORD1273,In-house Rider,Klang Valley,Scheduled,14,1,Order weekday,True,0.9833333333333332,0.0,0.7,0.2833333333333334
ORD1185,GrabExpress,Klang Valley,Same Day,13,81,Tight requested window,True,-0.3166666666666666,0.0,0.0,0.175
ORD1190,Lalamove,Klang Valley,Same Day,13,7,Order weekday,True,0.1833333333333333,0.0,0.25,0.0
ORD1271,Lalamove,Klang Valley,Scheduled,14,0,Order weekday,True,0.4666666666666667,0.0,0.1333333333333333,0.3333333333333332
ORD1220,In-house Rider,Klang Valley,Scheduled,11,0,Order weekday,True,1.8666666666666667,0.0,1.4333333333333331,0.4333333333333333
ORD1200,J&T Express,Penang,Next Day,16,17,Klang Valley zone,True,4.55,0.0,3.3083333333333336,1.2416666666666636
ORD1202,In-house Rider,Klang Valley,Next Day,16,9,Order weekday,True,0.7833333333333333,0.0,1.0833333333333333,0.0
ORD1218,Pos Laju,Other,Scheduled,11,10,Klang Valley zone,True,1.4333333333333331,115.89,2.083333333333332,0.0
ORD1207,In-house Rider,Klang Valley,Same Day,16,74,Tight requested window,True,-0.0333333333333333,0.0,0.1999999999999999,0.0
ORD1198,In-house Rider,Klang Valley,Same Day,16,18,GrabExpress,True,-0.2166666666666666,0.0,0.0,0.5666666666666667
ORD1264,Lalamove,Klang Valley,Scheduled,14,0,In-house Rider,True,0.1333333333333333,0.0,0.4166666666666665,0.0
ORD1209,In-house Rider,Klang Valley,Same Day,16,64,Tight requested window,True,0.7166666666666667,0.0,1.05,0.0
ORD1227,Pos Laju,Johor Bahru,Scheduled,11,9,Klang Valley zone,True,-0.45,0.0,0.0,2.466666666666665
ORD1195,In-house Rider,Klang Valley,Same Day,16,92,Tight requested window,False,2.65,0.0,1.5666666666666669,1.0833333333333337
ORD1277,Lalamove,Klang Valley,Scheduled,15,0,Anniversary occasion,True,0.5166666666666667,0.0,0.2833333333333334,0.2333333333333334
ORD1279,J&T Express,Penang,Scheduled,15,3,Klang Valley zone,True,0.3333333333333333,0.0,1.7083333333333357,0.0
ORD1237,Lalamove,Klang Valley,Scheduled,12,0,In-house Rider,True,0.2666666666666666,139.36,0.0,0.75
ORD1212,In-house Rider,Klang Valley,Same Day,11,4,Tight requested window,True,0.4166666666666667,0.0,0.0666666666666666,0.3500000000000001
ORD1213,GrabExpress,Klang Valley,Same Day,11,87,Tight requested window,False,1.5833333333333333,127.62,1.1583333333333334,0.425
ORD1216,In-house Rider,Klang Valley,Same Day,11,4,Tight requested window,True,0.1666666666666666,0.0,0.1333333333333333,0.0333333333333334
ORD1288,J&T Express,Penang,Scheduled,15,4,Klang Valley zone,True,-0.75,0.0,0.0,2.375
ORD1211,Lalamove,Klang Valley,Same Day,11,11,Order weekday,True,0.1166666666666666,0.0,0.0,0.75
ORD1241,Ninja Van,Johor Bahru,Scheduled,12,21,Klang Valley zone,True,1.0333333333333334,0.0,5.666666666666668,0.0
ORD1217,Lalamove,Klang Valley,Same Day,11,21,In-house Rider,True,-0.2,0.0,0.0,0.4666666666666665
ORD1215,In-house Rider,Klang Valley,Same Day,11,2,Same Day service,True,-0.05,0.0,0.0,0.1833333333333333
ORD1223,Ninja Van,Klang Valley,Next Day,11,3,Ninja Van,True,0.6666666666666666,0.0,1.8000000000000007,0.0
ORD1224,Ninja Van,Penang,Next Day,11,91,Klang Valley zone,False,16.45,0.0,15.06666666666667,1.3833333333333293
ORD1232,Pos Laju,Other,Scheduled,12,7,Klang Valley zone,True,0.5,0.0,5.216666666666665,0.0
ORD1234,In-house Rider,Klang Valley,Scheduled,12,0,Lalamove,True,0.5666666666666667,0.0,1.1666666666666667,0.0
ORD1284,GrabExpress,Klang Valley,Scheduled,15,4,Order weekday,True,0.65,0.0,0.0,0.7083333333333334
ORD1263,J&T Express,Other,Scheduled,14,9,Klang Valley zone,True,-0.8166666666666667,0.0,0.2083333333333357,0.0
ORD1244,In-house Rider,Klang Valley,Scheduled,7,0,Preserved Flowers,True,-0.0166666666666666,0.0,0.0,0.3333333333333335
